SAMPLE_ID,EASTING,NORTHING,DEPTH_M,LITHOLOGY,Au_ppm,Cu_ppm,Pb_ppm,Zn_ppm,As_ppm,Fe_pct,SiO2_pct
MR-0047,433466,6154859,49.6,quartz vein,0.015,14,3,8,2.2,4.67,55.4
MR-0048,432822,6154988,94.9,granodiorite,<0.005,31,9,27,7.1,6.61,54.9
MR-0049,433502,6154483,69.2,granodiorite,0.149,29,38,35,10.2,5.40,56.5
MR-0050,432159,6155336,3.2,quartz vein,0.022,52,16,27,9.1,4.94,66.4
MR-0051,433985,6154137,169.9,granodiorite,<0.005,64,25,20,1.6,0.50,53.1
MR-0052,433815,6154945,36.0,schist,0.006,34,3,27,6.6,5.35,65.1
MR-0053,432398,6154591,166.2,quartz vein,0.057,12,6,84,5.1,8.03,54.0
MR-0054,432462,6154525,107.8,basalt,0.014,73,9,17,4.0,6.31,43.9
MR-0055,433407,6155429,12.8,schist,<0.005,14,3,19,7.6,5.18,55.7
MR-0056,432922,6154613,109.7,quartz vein,2.824,239,15,138,21.8,4.14,48.7
MR-0057,433275,6154466,204.0,schist,<0.005,23,16,34,3.0,7.12,64.7
MR-0058,433712,6155767,136.5,basalt,0.019,28,4,32,7.7,3.88,59.7
MR-0059,433146,6154912,96.8,schist,0.009,32,2,15,4.6,3.57,64.4
MR-0060,433219,6155399,107.7,quartz vein,0.014,76,5,39,31.2,2.53,46.5
MR-0061,434365,6154478,181.0,schist,0.014,7,18,22,19.0,4.37,52.3
MR-0062,432019,6155557,162.7,schist,0.017,8,19,16,7.5,2.94,62.0
MR-0063,433922,6154458,187.6,andesite,5.270,169,15,21,23.1,4.76,70.3
MR-0064,433019,6155453,219.7,andesite,1.334,130,10,29,32.4,6.44,44.6
MR-0065,432711,6154998,99.7,quartz vein,2.707,171,9,121,69.7,3.51,63.3
MR-0066,432832,6155614,51.7,basalt,0.013,57,9,10,6.0,3.88,54.9
MR-0067,432780,6154539,34.2,granodiorite,0.018,17,2,57,7.7,4.22,46.1
MR-0068,433413,6155214,179.2,andesite,0.016,33,17,29,12.6,6.63,69.3
MR-0069,434166,6154251,211.2,quartz vein,0.007,43,40,24,4.1,6.07,55.8
MR-0070,432114,6154091,24.6,basalt,<0.005,14,2,17,2.7,5.14,68.0
MR-0071,432922,6154494,73.3,quartz vein,0.800,166,20,33,21.1,5.48,56.1
MR-0072,434071,6155229,50.2,granodiorite,0.022,19,5,31,16.7,1.39,44.5
MR-0073,432793,6154161,41.4,quartz vein,<0.005,11,17,34,9.9,5.16,60.5
MR-0074,433185,6154008,187.7,basalt,0.025,8,2,67,17.6,3.66,41.3
MR-0075,433485,6155636,79.5,granodiorite,0.019,19,6,33,4.6,3.67,76.4
MR-0076,433975,6154140,6.6,schist,<0.005,45,20,45,18.6,6.64,64.7
MR-0077,432831,6154108,111.6,quartz vein,0.599,498,36,40,40.7,5.87,48.2
MR-0078,432218,6155584,118.0,basalt,<0.005,24,11,117,13.5,5.52,60.2
MR-0079,433492,6154093,50.9,basalt,0.010,15,4,47,8.6,2.28,56.9
MR-0080,433831,6155020,166.9,granodiorite,0.031,25,6,16,8.2,6.18,69.6
MR-0081,434360,6154647,39.3,quartz vein,1.416,189,8,21,23.2,5.94,60.5
MR-0082,432213,6155335,160.8,schist,0.047,11,2,9,6.2,5.56,56.9
MR-0083,433879,6154775,5.1,granodiorite,0.053,11,9,20,2.7,4.91,70.8
MR-0084,432923,6154736,132.4,quartz vein,0.012,84,11,36,8.4,11.22,65.7
MR-0085,434244,6154084,210.1,granodiorite,0.007,46,12,40,6.1,6.11,61.8
MR-0086,432020,6154866,211.1,andesite,1.576,124,24,13,17.5,5.42,60.5
MR-0087,433566,6155105,209.7,andesite,<0.005,24,10,31,5.9,5.91,66.5
MR-0088,432966,6154976,36.4,schist,<0.005,30,33,24,0.6,2.43,50.5
MR-0089,432607,6154199,169.9,basalt,0.008,51,7,18,9.3,2.74,61.5
MR-0090,434109,6155278,187.3,quartz vein,8.576,90,13,16,29.6,6.50,52.4
MR-0091,434098,6154005,113.9,granodiorite,<0.005,36,36,9,4.5,3.94,59.1
MR-0092,434002,6155715,36.0,quartz vein,0.009,33,10,35,6.1,6.31,68.5
MR-0093,433330,6155511,180.0,andesite,3.508,213,25,47,42.4,4.86,61.0
MR-0094,432137,6155430,137.0,schist,<0.005,7,17,46,2.1,4.22,70.3
MR-0095,433802,6154505,13.7,basalt,0.017,76,14,16,5.5,5.44,45.7
MR-0096,433726,6154829,145.2,andesite,0.012,20,11,39,10.5,3.70,48.6
MR-0097,433439,6154521,164.9,quartz vein,0.018,8,15,55,8.5,6.64,45.4
MR-0098,432946,6154725,123.6,schist,0.020,20,8,61,22.9,8.73,69.8
MR-0099,433727,6154465,20.2,basalt,0.013,27,24,32,3.1,4.75,63.7
MR-0100,434255,6155549,54.3,basalt,0.022,19,22,43,2.0,8.10,53.5
MR-0101,433602,6155729,154.3,schist,0.012,20,9,51,8.2,6.07,61.7
MR-0102,433056,6155233,5.1,granodiorite,0.008,5,13,33,15.5,7.64,59.8
MR-0103,432960,6155268,139.1,granodiorite,0.011,49,8,58,11.1,3.78,66.8
MR-0104,434392,6155376,167.8,granodiorite,0.005,13,8,48,2.6,6.29,46.8
MR-0105,433153,6154515,179.5,basalt,<0.005,69,14,44,6.7,6.30,56.6
MR-0106,433451,6154208,85.8,andesite,0.006,24,5,46,22.2,5.36,56.2
MR-0107,434396,6155689,174.0,granodiorite,<0.005,29,35,237,3.6,8.08,60.2
MR-0108,433215,6154993,110.2,basalt,0.012,27,9,12,1.5,6.68,55.5
MR-0109,433646,6154320,11.3,andesite,0.006,58,43,47,14.5,7.74,68.2
MR-0110,432564,6155347,176.3,granodiorite,0.019,11,21,13,3.0,7.85,65.6
MR-0111,433179,6154918,0.1,basalt,0.009,26,13,73,4.4,6.13,49.1
MR-0112,432156,6155549,181.1,basalt,0.005,21,11,27,29.8,5.32,55.8
MR-0113,433293,6154969,102.2,granodiorite,0.006,65,11,82,6.4,5.57,57.2
MR-0114,434048,6154246,143.8,quartz vein,1.069,249,18,25,56.4,5.83,66.7
MR-0115,433076,6155703,161.6,basalt,0.012,25,40,6,1.7,3.36,54.7
MR-0116,433486,6154468,92.1,andesite,<0.005,137,51,25,4.4,3.43,40.8
MR-0117,433818,6155519,0.2,andesite,0.005,27,16,44,1.8,7.04,50.8
MR-0118,434017,6155683,13.1,basalt,<0.005,20,16,51,5.3,8.26,67.1
MR-0119,432516,6154140,189.3,andesite,<0.005,13,40,16,1.8,4.62,61.8
MR-0120,433922,6155599,204.5,basalt,0.006,15,6,164,7.9,7.10,53.6
MR-0121,432239,6154112,208.7,quartz vein,0.274,339,12,82,43.5,3.88,62.7
MR-0122,433128,6154230,70.6,andesite,0.020,17,5,14,6.5,6.09,50.9
MR-0123,432463,6154487,124.9,andesite,0.780,188,28,35,9.8,5.19,44.0
MR-0124,432733,6154298,159.1,granodiorite,0.005,30,7,21,12.1,5.43,73.7
MR-0125,432933,6154188,11.6,schist,0.025,18,12,31,2.9,6.69,63.9
MR-0126,432199,6154047,163.6,quartz vein,0.008,32,7,34,3.5,8.42,61.3
MR-0127,434045,6155531,59.5,basalt,<0.005,43,13,39,1.8,5.46,76.0
MR-0128,434043,6154337,130.7,granodiorite,0.007,19,2,40,12.9,2.66,52.0
MR-0129,434107,6155682,91.9,schist,<0.005,38,22,28,0.6,3.71,69.1
MR-0130,433503,6155202,82.9,andesite,0.986,241,53,29,15.6,7.64,51.2
MR-0131,433484,6154746,17.8,quartz vein,2.113,146,22,9,39.4,5.99,61.7
MR-0132,432886,6155788,210.9,schist,0.021,164,10,19,8.9,6.29,53.3
MR-0133,432096,6155686,117.7,quartz vein,0.028,23,10,49,1.9,6.13,75.2
MR-0134,433899,6154340,62.9,basalt,0.007,18,10,25,13.8,2.38,65.8
MR-0135,434314,6155127,175.1,basalt,0.042,59,26,11,12.8,6.23,43.6
MR-0136,434070,6154695,79.6,basalt,0.019,28,15,93,18.2,0.50,55.1
MR-0137,432939,6154567,45.3,basalt,0.039,11,16,17,3.3,8.16,53.1
MR-0138,432852,6154276,13.9,basalt,0.072,37,11,50,1.7,7.63,55.1
MR-0139,432468,6155173,208.7,basalt,0.022,29,21,33,9.6,4.75,78.1
MR-0140,432296,6154972,40.2,schist,0.044,14,72,66,14.5,5.55,56.0
MR-0141,432769,6155479,109.5,quartz vein,<0.005,44,25,52,11.8,5.01,49.6
MR-0142,434335,6154120,130.5,basalt,0.014,23,9,4,2.0,7.52,52.0
MR-0143,432547,6155295,172.0,andesite,0.015,125,41,27,3.5,4.91,62.6
MR-0144,432886,6154910,162.0,quartz vein,10.388,459,16,65,14.2,6.33,66.9
MR-0145,433103,6155318,24.4,granodiorite,<0.005,7,13,73,6.0,1.43,56.3
MR-0146,434006,6154315,78.7,andesite,0.008,81,17,49,6.7,6.09,65.0
MR-0147,433148,6154370,180.5,quartz vein,1.020,126,5,26,27.4,3.43,64.4
MR-0148,432419,6154564,60.0,granodiorite,0.006,62,16,29,9.5,1.71,57.6
MR-0149,432314,6154793,199.9,andesite,0.361,176,7,83,9.7,3.22,35.0
MR-0150,433083,6155022,121.5,schist,0.007,52,32,29,0.9,6.61,63.0
MR-0151,434007,6155132,75.8,quartz vein,3.007,92,41,28,36.6,5.31,70.3
MR-0152,432142,6155501,149.9,schist,<0.005,36,17,11,3.2,4.45,54.7
MR-0153,432460,6154009,95.2,quartz vein,1.492,180,6,15,15.5,3.41,59.5
MR-0154,433372,6155028,218.7,granodiorite,0.011,21,16,33,1.6,3.23,58.3
MR-0155,432092,6154425,43.0,schist,0.037,22,19,20,5.4,2.58,36.9
MR-0156,433566,6154726,203.1,basalt,0.007,9,4,29,3.1,6.18,62.1
MR-0157,432590,6154428,175.1,basalt,<0.005,24,30,80,1.7,4.94,70.2
MR-0158,434231,6154404,186.3,andesite,0.008,30,10,32,6.5,4.28,62.8
MR-0159,432958,6154974,136.2,quartz vein,1.731,342,14,73,61.9,6.18,67.7
MR-0160,434362,6155340,180.5,andesite,0.011,30,29,10,14.5,5.51,56.2
MR-0161,433798,6155497,200.9,basalt,0.007,39,4,34,5.4,7.61,56.4
MR-0162,432853,6155148,104.3,quartz vein,1.230,79,17,10,33.9,9.80,48.1
MR-0163,434367,6154864,66.3,basalt,0.006,29,12,40,3.2,5.34,43.6
MR-0164,434202,6155281,124.0,schist,0.009,8,27,43,3.1,4.99,44.5
MR-0165,433189,6154985,171.4,quartz vein,1.093,166,24,23,9.1,4.54,46.8
MR-0166,434227,6154956,104.7,granodiorite,0.119,7,14,15,3.9,5.75,37.1
MR-0167,433078,6154473,198.6,basalt,0.014,50,11,22,0.8,6.65,57.0
MR-0168,432147,6155781,16.3,schist,0.006,17,20,13,15.5,2.98,52.0
MR-0169,432318,6155689,98.4,basalt,<0.005,17,13,34,5.6,5.44,56.1
MR-0170,434115,6154139,168.3,quartz vein,1.420,172,9,93,17.6,6.71,51.0
MR-0171,432738,6154589,148.4,andesite,1.010,121,29,51,126.4,3.64,58.6
MR-0172,433850,6154426,182.5,quartz vein,<0.005,12,11,14,12.9,3.85,83.3
MR-0173,433309,6155155,162.3,granodiorite,0.012,10,48,73,7.9,3.08,59.9
MR-0174,433408,6154001,95.0,quartz vein,0.247,237,32,72,26.2,7.33,43.1
MR-0175,433846,6154711,90.7,andesite,0.008,20,11,22,4.1,5.43,62.0
MR-0176,433741,6154516,55.1,quartz vein,<0.005,34,12,34,14.4,1.98,40.2
MR-0177,432630,6154682,183.2,quartz vein,0.022,47,18,28,0.9,6.88,69.0
MR-0178,432090,6154577,120.4,granodiorite,0.022,45,42,18,4.9,6.85,58.5
MR-0179,433345,6154774,187.1,basalt,0.012,29,10,93,2.7,4.44,58.1
MR-0180,432612,6155180,60.5,basalt,<0.005,6,13,15,4.3,6.69,52.2
MR-0181,432155,6154227,39.3,quartz vein,1.446,239,4,52,56.3,7.34,60.6
MR-0182,434303,6155715,108.7,basalt,0.022,19,15,61,3.6,4.39,47.3
MR-0183,432720,6154585,141.7,granodiorite,0.068,67,3,55,21.8,4.68,58.9
MR-0184,433667,6154442,9.4,granodiorite,<0.005,28,3,48,15.2,4.09,47.8
MR-0185,432536,6154958,203.5,schist,<0.005,34,8,16,3.7,7.43,63.4
MR-0186,433894,6154140,187.0,basalt,<0.005,25,14,24,9.0,4.10,62.6
MR-0187,433473,6154330,103.9,basalt,<0.005,16,28,27,1.6,3.53,67.2
MR-0188,433747,6154835,207.4,schist,0.011,11,8,16,13.2,6.82,42.5
MR-0189,433761,6154223,152.4,granodiorite,<0.005,75,12,15,3.3,4.06,46.5
MR-0190,432336,6154513,73.7,andesite,0.008,7,7,18,2.8,9.10,58.5
MR-0191,434029,6155241,31.2,basalt,0.014,12,25,14,4.7,4.45,59.5
MR-0192,433300,6154939,61.5,granodiorite,0.009,15,18,39,5.6,4.73,65.2
MR-0193,432076,6154582,178.3,granodiorite,0.061,10,23,9,7.4,8.34,62.4
MR-0194,434351,6155082,168.0,andesite,0.888,187,7,19,28.2,6.48,60.1
MR-0195,432683,6154965,74.0,schist,0.015,23,8,156,4.0,4.30,61.9
MR-0196,432698,6154854,28.8,basalt,0.034,23,5,76,10.6,3.22,74.0
MR-0197,432124,6155753,111.0,andesite,0.013,24,7,50,9.3,5.53,50.9
MR-0198,433696,6154542,6.8,andesite,<0.005,36,2,38,3.9,7.85,53.6
MR-0199,432940,6154546,102.6,granodiorite,0.023,18,27,17,7.9,7.16,63.9
MR-0200,432712,6155452,206.1,quartz vein,2.801,193,5,57,47.2,10.64,61.3
MR-0201,433455,6154808,3.1,andesite,<0.005,9,48,40,8.5,4.94,56.4
MR-0202,434189,6154681,84.7,quartz vein,0.009,19,4,8,4.8,5.60,46.4
MR-0203,432813,6154080,117.0,schist,<0.005,33,17,15,7.0,7.34,65.0
MR-0204,433714,6155451,67.9,granodiorite,0.006,34,14,51,6.8,6.97,58.9
MR-0205,434230,6155330,132.5,basalt,<0.005,72,15,10,3.2,6.89,55.5
MR-0206,434041,6154765,193.5,quartz vein,0.005,28,17,47,13.7,5.86,62.4
MR-0207,432648,6154089,77.4,basalt,0.014,42,19,34,2.9,5.62,57.7
MR-0208,433387,6155508,31.3,basalt,0.007,33,29,35,49.6,4.82,60.9
MR-0209,433263,6154689,12.9,schist,0.026,31,33,31,4.5,10.37,61.5
MR-0210,432626,6155610,40.9,quartz vein,0.028,19,13,32,11.7,3.98,48.3
MR-0211,432775,6155657,25.1,andesite,0.022,15,8,17,19.5,6.64,63.4
MR-0212,433322,6155617,55.7,basalt,<0.005,15,7,18,2.3,4.96,47.1
MR-0213,433692,6155599,192.8,granodiorite,0.018,37,9,146,7.5,2.15,49.0
MR-0214,432737,6155128,85.4,quartz vein,8.245,265,6,16,28.9,2.16,56.4
MR-0215,432828,6154632,94.4,andesite,0.009,26,20,71,4.6,4.68,61.9
MR-0216,432071,6154913,159.2,basalt,0.024,49,34,115,2.8,5.53,58.1
MR-0217,434086,6155276,189.3,schist,0.012,14,13,19,2.2,5.92,59.4
MR-0218,433707,6155375,44.0,andesite,0.018,12,4,100,2.6,3.62,57.6
MR-0219,432701,6155618,160.5,andesite,<0.005,9,26,47,3.5,2.65,51.3
MR-0220,433344,6154776,131.6,basalt,<0.005,23,21,6,15.3,3.37,61.0
MR-0221,434155,6155484,202.2,quartz vein,0.005,27,10,46,12.3,6.60,56.1
MR-0222,432293,6154356,126.2,granodiorite,0.017,11,20,63,6.8,0.50,46.5
MR-0223,433195,6155498,124.9,granodiorite,0.038,25,29,40,9.1,6.15,64.3
MR-0224,434131,6154101,187.8,andesite,4.126,172,31,63,73.2,4.59,55.2
MR-0225,432563,6155701,105.1,quartz vein,0.016,17,57,33,19.3,5.97,65.4
MR-0226,432635,6154832,71.9,basalt,0.012,35,16,27,8.7,9.52,55.6
MR-0227,432733,6154204,167.7,quartz vein,2.494,364,14,67,9.5,5.97,57.7
MR-0228,433346,6154019,130.9,basalt,0.177,44,28,60,22.9,5.16,39.5
MR-0229,434378,6154842,177.3,basalt,0.009,15,41,56,10.9,6.62,57.7
MR-0230,433198,6154750,118.2,schist,<0.005,27,16,77,24.9,8.33,49.0
MR-0231,433169,6155352,21.3,schist,0.049,54,9,18,12.3,3.52,55.9
MR-0232,434110,6155055,70.9,quartz vein,<0.005,35,7,34,5.6,5.01,65.1
MR-0233,433673,6154011,118.7,schist,0.006,8,21,73,5.8,1.97,64.4
MR-0234,432454,6155154,173.9,andesite,<0.005,18,11,21,10.3,4.70,66.8
MR-0235,433499,6154717,48.8,quartz vein,<0.005,8,15,26,0.7,4.54,49.9
MR-0236,432086,6155301,114.3,granodiorite,<0.005,53,36,20,3.4,6.61,37.1
MR-0237,432883,6155505,176.6,andesite,4.096,212,12,119,42.8,3.67,58.9
MR-0238,433628,6154897,7.5,quartz vein,0.753,299,11,35,20.3,6.83,65.4
MR-0239,433639,6155584,92.3,quartz vein,0.025,17,9,48,2.9,4.76,58.8
MR-0240,434387,6154387,35.9,granodiorite,<0.005,6,4,13,5.3,3.36,51.7
